code;name;province_id;url
040200;Sleman;4;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/040200/1
040300;Gunung Kidul;4;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/040300/1
040400;Kulon Progo;4;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/040400/1
046000;Yogyakarta;4;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/046000/1
050100;Gresik;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050100/1
050200;Sidoarjo;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050200/1
050300;Mojokerto;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050300/1
050400;Jombang;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050400/1
050500;Bojonegoro;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050500/1
050600;Tuban;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050600/1
050700;Lamongan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050700/1
050800;Madiun;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050800/1
050900;Ngawi;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/050900/1
051000;Magetan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051000/1
051100;Ponorogo;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051100/1
051200;Pacitan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051200/1
051300;Kediri;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051300/1
051400;Nganjuk;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051400/1
051500;Blitar;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051500/1
051600;Tulungagung;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051600/1
051700;Trenggalek;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051700/1
051800;Malang;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051800/1
051900;Pasuruan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/051900/1
052000;Probolinggo;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052000/1
052100;Lumajang;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052100/1
052200;Bondowoso;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052200/1
052300;Situbondo;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052300/1
052400;Jember;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052400/1
052500;Banyuwangi;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052500/1
052600;Pamekasan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052600/1
052700;Sampang;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052700/1
052800;Sumenep;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052800/1
052900;Bangkalan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/052900/1
056000;Surabaya;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056000/1
056100;Malang;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056100/1
056200;Madiun;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056200/1
056300;Kediri;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056300/1
056400;Mojokerto;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056400/1
056500;Blitar;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056500/1
056600;Pasuruan;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056600/1
056700;Probolinggo;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056700/1
056800;Batu;5;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/056800/1
060100;Aceh Besar;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060100/1
060200;Pidie;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060200/1
060300;Aceh Utara;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060300/1
060400;Aceh Timur;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060400/1
060500;Aceh Tengah;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060500/1
060600;Aceh Barat;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060600/1
060700;Aceh Selatan;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060700/1
060800;Aceh Tenggara;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/060800/1
061100;Simeulue;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061100/1
061200;Bireuen;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061200/1
061300;Aceh Singkil;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061300/1
061400;Aceh Tamiang;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061400/1
061500;Nagan Raya;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061500/1
061600;Aceh Jaya;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061600/1
061700;Aceh Barat Daya;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061700/1
061800;Gayo Lues;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061800/1
061900;Bener Meriah;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/061900/1
062000;Pidie Jaya;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/062000/1
066000;Sabang;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/066000/1
066100;Banda Aceh;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/066100/1
066200;Lhokseumawe;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/066200/1
066300;Langsa;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/066300/1
066400;Subulussalam;6;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/066400/1
070100;Deli Serdang;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070100/1
070200;Langkat;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070200/1
070300;Karo;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070300/1
070400;Simalungun;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070400/1
070500;Dairi;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070500/1
070600;Asahan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070600/1
070700;Labuhan Batu;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070700/1
070800;Tapanuli Utara;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070800/1
070900;Tapanuli Tengah;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/070900/1
071000;Tapanuli Selatan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071000/1
071100;Nias;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071100/1
071500;Mandailing Natal;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071500/1
071600;Toba;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071600/1
071700;Nias Selatan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071700/1
071800;Pakpak Bharat;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071800/1
071900;Humbang Hasudutan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/071900/1
072000;Samosir;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072000/1
072100;Serdang Bedagai;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072100/1
072200;Batubara;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072200/1
072300;Padang Lawas utara;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072300/1
072400;Padang Lawas;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072400/1
072500;Labuhan Batu Utara;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072500/1
072600;Labuhan Batu Selatan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072600/1
072700;Nias Barat;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072700/1
072800;Nias Utara;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/072800/1
076000;Medan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076000/1
076100;Binjai;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076100/1
076200;Tebing Tinggi;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076200/1
076300;Pematangsiantar;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076300/1
076400;Tanjung Balai;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076400/1
076500;Sibolga;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076500/1
076600;Padang Sidimpuan;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076600/1
076700;Gunungsitoli;7;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/076700/1
080100;Agam;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080100/1
080200;Pasaman;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080200/1
080300;Lima Puluh Koto;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080300/1
080400;Solok;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080400/1
080500;Padang Pariaman;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080500/1
080600;Pesisir Selatan;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080600/1
080700;Tanah Datar;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080700/1
080800;Sijunjung;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/080800/1
081000;Kepulauan Mentawai;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/081000/1
081100;Solok Selatan;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/081100/1
081200;Dharmasraya;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/081200/1
081300;Pasaman Barat;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/081300/1
086000;Bukittinggi;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086000/1
086100;Padang;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086100/1
086200;Padang Panjang;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086200/1
086300;Sawah Lunto;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086300/1
086400;Solok;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086400/1
086500;Payakumbuh;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086500/1
086600;Pariaman;8;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/086600/1
090100;Kampar;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090100/1
090200;Bengkalis;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090200/1
090400;Indragiri Hulu;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090400/1
090500;Indragiri Hilir;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090500/1
090800;Pelalawan;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090800/1
090900;Rokan Hulu;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/090900/1
091000;Rokan Hilir;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/091000/1
091100;Siak;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/091100/1
091400;Kuantan Singingi;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/091400/1
091500;Kepulauan Meranti;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/091500/1
096000;Pekanbaru;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/096000/1
096200;Dumai;9;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/096200/1
100100;Batang Hari;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100100/1
100200;Bungo;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100200/1
100300;Sarolangun;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100300/1
100400;Tanjung Jabung Barat;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100400/1
100500;Kerinci;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100500/1
100600;Tebo;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100600/1
100700;Muaro Jambi;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100700/1
100800;Tanjung Jabung Timur;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100800/1
100900;Merangin;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/100900/1
106000;Jambi;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/106000/1
106100;Sungai Penuh;10;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/106100/1
110100;Musi Banyuasin;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110100/1
110200;Ogan Komering Ilir;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110200/1
110300;Ogan Komering Ulu;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110300/1
110400;Muara Enim;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110400/1
110500;Lahat;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110500/1
110600;Musi Rawas;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110600/1
110700;Banyuasin;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110700/1
110800;Ogan Komering Ulu Timur;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110800/1
110900;Ogan Komering Ulu Selatan;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/110900/1
111000;Ogan Ilir;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/111000/1
111100;Empat Lawang;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/111100/1
111200;Penukal Abab Lematang Ilir;11;https://referensi.data.kemdikbud.go.id/pendidikan/dikdas/111200/1
